gene_id,responder_mean,non_responder_mean,abs_mean_diff
SNORD33,1.383087504638728,7.940357433401111,6.557269928762383
MIR4461,6.162834334998788,11.139638060640385,4.976803725641597
MIR4442,0.0,4.586373395585878,4.586373395585878
CDH1,5.32106499985697,1.8487934779892157,3.4722715218677545
MIR1234,4.879895199370804,8.031056310871515,3.151161111500711
