sample_id,CDH1,CRYAB,FABP7,FBLN1,FXYD3,LOC283352,MFAP2,MIR1234,MIR1282,MIR4442,MIR4444-1,MIR4461,MIR4484,MIR5047,MIR6132,MIR632,MMP1,OLIG1,PLEKHB1,SFRP2,SNORA10,SNORA24,SNORA26,SNORA48,SNORD15B,SNORD33,SNORD38A,SNORD44,SNORD76,SNORD89
GSM2069823,5.72093508135976,8.245481401608556,0.04734496951098176,7.26457396159933,4.819435719215065,0.5948805222978086,4.098023658439341,16.119407246077202,0.0,0.0,0.0,17.488922778946083,0.0,0.0,0.0,0.0,0.9913816172391146,1.1769163259168696,2.231688912551852,7.265938473941779,2.4752729918906233,5.063901957969012,0.0,5.696575337990838,6.9390678631389395,20.698758071051564,0.0,0.0,0.0,4.74483652783744
GSM2069828,1.008904190429317,2.2110246573197148,0.11043006418629753,7.993878117847371,2.532320700110217,0.0,6.500833117821311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8937932073464271,0.05557925736760538,1.1102229095513048,2.9358227332425284,5.330850566383823,4.6615215958527605,0.0,3.846132220924911,2.7732790177043514,0.0,0.0,0.0,0.0,0.0
GSM2069831,0.24515487638092567,6.850780674367661,6.210829118514468,8.00557121901408,1.9520856401061109,0.2962071716911791,7.954926199221428,17.865059628805245,0.0,17.489169813418734,17.447983176570297,19.916639041589644,0.0,0.0,0.0,0.0,8.8678347034652,1.5530335865018885,5.522664697137405,5.5925377661308255,0.0,2.858448551540948,0.0,0.0,0.0,0.0,0.0,0.0,18.29661379195319,0.0
GSM2069832,0.2033728283785424,5.8300017348399145,0.33193504352801456,5.991640884763199,7.020468864969464,1.3168900735928764,7.855681422815261,0.0,0.0,18.359164015709016,0.0,17.875932292017456,0.0,0.0,0.0,14.797322087864442,3.0306371234643126,1.040559327726167,3.20407027096655,6.167235476530381,5.137468685522917,8.258667313415279,8.976740243176009,9.284075670702107,7.576034556426758,20.748124042089593,0.0,0.0,0.0,0.0
GSM2069834,0.02936990855801235,3.2210928954448828,1.3410122399456745,5.5989978536934695,0.09583903692335165,0.0,5.701076305581183,0.0,11.315851487959618,0.0,17.082939046583697,0.0,0.0,0.0,0.0,12.537752273665403,9.39260722079931,0.04081186185520304,0.31044715530588174,7.760497081681334,6.757136619529081,6.603492082799396,6.892818427795033,7.427857549876927,7.513739437450004,18.75365746761107,0.0,0.0,0.0,0.0
GSM2069838,2.4152908503486605,7.901901676056832,2.3930825352290386,3.257985164496193,0.8064242897608203,0.0,4.482535321086867,17.306217481539687,0.0,0.0,0.0,0.0,0.0,14.073346624004873,0.0,0.0,0.26112156736909525,0.3868666670784337,2.6715889021835872,4.024417203218728,5.281629637006458,6.610612961634495,8.030062898421674,7.195419455660657,6.008278461918049,17.745779350394702,0.0,0.0,18.731622323123215,0.0
GSM2069839,3.9069483022560294,7.606046113695886,4.62994232279492,7.249080259676876,5.8985481827922595,1.0066427212970317,5.855317013467984,0.0,11.308677477641432,0.0,0.0,17.179758477539174,0.0,13.762086118836562,0.0,0.0,1.7524296220819366,1.018699684963477,6.038146419499433,8.767227725899334,0.0,0.0,0.0,3.6804706445560096,3.2026449614518473,0.0,0.0,0.0,0.0,0.0
GSM2069840,1.8964946790522281,3.851923902944771,3.4337747003110177,6.4202676392086016,3.3873797747621226,0.30072294103554137,6.2379116546468065,17.613685165681755,12.099799814720532,0.0,0.0,20.018268787147832,16.57683859972457,0.0,0.0,0.0,5.133240872410075,0.40079256464464935,2.5851668680429385,5.384441865317257,5.793311977385837,5.941641586746651,5.323732138637628,3.320845667645722,3.2712463739354583,0.0,0.0,0.0,0.0,0.0
GSM2069841,0.2323519256075598,7.543414683145783,0.34557066922203844,6.771733749580502,0.27576515740744717,0.5039847038976127,3.0975138833657465,18.404501298092526,0.0,0.0,0.0,18.673138239598366,17.134095370507094,0.0,0.0,0.0,1.3874921349137987,1.236608947720986,3.747022114161239,3.900098775928977,5.454570737426981,0.0,0.0,0.0,2.9491707115981693,0.0,0.0,0.0,0.0,0.0
GSM2069845,2.5204486505470456,8.479966145532456,0.12543739241611135,4.727362323062162,6.4692103686012885,0.10407762247450969,5.892621741519776,0.0,0.0,19.18814691790278,0.0,0.0,0.0,13.51164148291427,0.0,0.0,0.8186546714846736,3.056754318090286,2.5640586183001925,0.6928177263422991,4.737940886953889,5.402490257527695,7.1746910382750375,7.086826217702072,4.79464459986288,17.3379702696664,0.0,0.0,0.0,0.0
